순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR(need to drop),WPA
599,허준혁,15두,0.80,16,0,0,14,3,2,0,0,63.0,37,25,282,52,7,1,7,41,1,6,45,0,3,3.57,5.82,1.48,131.3,80.5,0.80,-0.12
600,고영창,22K,0.80,27,0,0,0,0,1,0,0,24.0,5,5,104,24,3,0,2,10,0,3,9,0,0,1.88,5.30,1.42,217.4,77.3,0.80,-0.47
601,김원중,22롯,0.79,43,0,0,0,2,3,16,2,43.0,21,19,187,40,10,1,4,16,3,0,60,0,3,3.98,2.66,1.30,104.7,153.2,0.79,0.26
602,김민우,15한,0.79,36,0,0,8,1,3,0,0,70.0,41,40,314,67,13,0,5,38,3,10,50,0,5,5.14,5.04,1.50,96.9,97.7,0.79,-0.69
603,박정진,17한,0.79,55,0,0,0,3,2,1,7,48.0,28,21,205,38,6,0,6,24,0,3,51,0,3,3.94,4.92,1.29,127.7,103.0,0.79,0.52
604,배재환,18N,0.79,31,0,0,0,3,3,1,2,36.0,18,18,169,37,5,1,6,25,1,1,34,0,3,4.50,6.19,1.72,115.3,85.0,0.79,-1.11
605,신재웅,15LS,0.79,61,0,0,0,0,1,0,9,50.1,28,23,236,72,15,2,5,17,0,4,49,0,1,4.11,4.21,1.77,115.4,112.8,0.79,-0.61
606,최채흥,18삼,0.78,8,0,0,4,4,1,0,0,28.0,11,10,120,30,5,1,5,8,0,1,25,0,0,3.21,5.33,1.36,165.0,98.9,0.78,0.06
607,김명신,17두,0.78,39,0,0,2,3,1,0,5,45.1,23,22,200,54,4,2,2,12,0,7,38,1,1,4.37,3.89,1.46,110.2,125.7,0.78,-0.44
608,이승호,19키,0.77,23,1,1,23,8,5,0,0,122.2,70,61,533,134,27,3,10,51,0,1,82,3,5,4.48,4.40,1.51,92.5,93.5,0.77,-0.82
609,황인준,18K,0.77,37,0,0,2,3,1,0,1,52.2,31,29,229,58,13,1,9,12,0,6,35,0,0,4.96,5.75,1.33,103.6,89.6,0.77,-0.23
610,밴와트,16k,0.77,28,0,0,27,6,13,0,0,134.2,103,89,614,172,27,4,21,49,0,4,92,0,6,5.95,5.63,1.64,87.9,92.6,0.77,-2.79
611,박진형,19롯,0.76,41,0,0,0,2,1,5,5,40.1,19,18,169,40,3,0,6,11,3,0,40,0,5,4.02,3.95,1.26,104.4,106.5,0.76,-1.02
