이름,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WPA,소속팀,연도,포지션,연봉
백상원,0.17,4,8,6,1,3,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0.5,0.625,0.5,1.125,0.526,219.5,0.18,삼성,2018,2B,
손성빈,0.17,20,22,19,4,6,0,0,0,6,0,0,0,3,0,0,6,0,0,0,0.316,0.409,0.316,0.725,0.362,113.2,-0.12,롯데,2021,C,
이원재,0.17,94,285,256,31,66,11,0,8,101,36,1,2,20,1,0,47,5,5,3,0.258,0.311,0.395,0.705,0.318,88.5,-0.51,NC,2019,1B,7100.0
최주환,0.16,85,182,160,21,45,11,0,2,62,22,0,0,12,4,1,19,2,2,4,0.281,0.339,0.388,0.726,0.328,80.9,-0.01,두산,2016,2B,10000.0
장영석,0.16,93,221,196,24,44,15,0,7,80,25,1,0,23,2,0,61,2,0,0,0.224,0.312,0.408,0.72,0.317,79.8,-0.6,키움,2018,1B,
폭스,0.16,38,121,108,16,30,4,0,7,55,25,0,0,8,3,1,27,9,0,2,0.278,0.339,0.509,0.848,0.364,105.8,-0.14,한화,2015,DH,
한석현,0.16,16,26,21,5,6,2,1,0,10,1,2,0,3,1,0,7,1,0,1,0.286,0.385,0.476,0.861,0.391,133.6,-0.15,LG,2021,LF,3900.0
정범모,0.16,22,50,43,5,11,2,0,1,16,3,0,0,5,0,0,15,0,2,0,0.256,0.333,0.372,0.705,0.31,73.7,0.02,한화,2017,C,
유상빈,0.16,17,49,46,3,15,5,0,0,20,4,0,1,0,0,0,11,0,2,1,0.326,0.319,0.435,0.754,0.327,101.0,0.31,한화,2022,LF,3000.0
배영섭,0.16,4,18,16,2,6,0,0,0,6,2,1,0,2,0,0,4,2,0,0,0.375,0.444,0.375,0.819,0.393,130.8,0.09,삼성,2015,LF,16000.0
윤형준,0.15,51,81,74,10,22,0,0,5,37,10,0,1,3,0,0,17,2,3,1,0.297,0.321,0.5,0.821,0.355,107.4,-0.59,NC,2021,1B,4000.0
조민성,0.15,12,16,13,3,4,0,0,1,7,3,1,0,2,1,0,7,0,0,0,0.308,0.438,0.538,0.976,0.443,175.4,-0.02,삼성,2022,1B,3000.0
박정현,0.15,81,220,205,23,50,4,1,3,65,19,6,1,12,1,0,56,2,2,0,0.244,0.289,0.317,0.606,0.282,70.2,-1.42,한화,2022,SS,3500.0
이성규,0.15,16,46,43,3,11,2,0,2,19,7,1,1,2,1,0,16,1,0,0,0.256,0.304,0.442,0.746,0.339,100.0,-0.01,삼성,2019,3B,4300.0
김재혁,0.15,15,39,33,5,8,1,0,0,9,3,4,0,4,1,0,9,0,0,1,0.242,0.333,0.273,0.606,0.296,79.3,0.1,삼성,2022,LF,
이홍구,0.15,53,110,101,14,19,3,0,10,52,18,0,0,5,2,0,43,2,1,1,0.188,0.239,0.515,0.753,0.305,66.5,-0.41,KIA,2017,SC,
전민수,0.15,71,109,98,12,25,3,0,3,37,16,0,0,11,0,1,23,2,0,0,0.255,0.33,0.378,0.708,0.331,92.6,0.43,NC,2021,XX,5000.0
남태혁,0.15,12,22,20,2,6,1,0,1,10,4,0,0,1,1,0,7,1,0,0,0.3,0.364,0.5,0.864,0.396,133.8,-0.02,SSG,2021,1B,
김민수,0.15,83,224,199,19,48,11,1,3,70,25,0,0,18,3,0,62,4,3,1,0.241,0.312,0.352,0.664,0.311,77.8,-1.37,롯데,2021,2B,5300.0
김민수,0.15,83,224,199,19,48,11,1,3,70,25,0,0,18,3,0,62,4,3,1,0.241,0.312,0.352,0.664,0.311,77.8,-1.37,롯데,2021,2B,3000.0
국해성,0.15,14,28,24,4,8,3,0,0,11,1,1,0,3,1,0,5,1,0,0,0.333,0.429,0.458,0.887,0.402,136.6,-0.01,두산,2018,RF,
김성윤,0.15,48,49,42,14,8,3,0,1,14,2,10,2,5,1,0,10,0,1,0,0.19,0.292,0.333,0.625,0.289,72.9,-0.18,삼성,2022,CF,3800.0
오준혁,0.15,47,144,132,18,35,8,4,2,57,15,1,2,9,1,0,38,2,2,0,0.265,0.317,0.432,0.749,0.33,80.3,-0.92,KIA,2016,RF,4200.0
김기현,0.14,9,9,7,0,3,0,0,0,3,0,0,0,2,0,0,3,0,0,0,0.429,0.556,0.429,0.984,0.475,190.2,-0.09,SSG,2015,XX,0.0
변상권,0.14,35,64,62,7,17,5,0,1,25,16,0,0,1,0,0,20,2,0,1,0.274,0.281,0.403,0.685,0.305,76.5,0.15,키움,2020,CF,2700.0
변우혁,0.14,21,61,61,5,16,3,0,3,28,8,0,0,0,0,0,21,3,0,0,0.262,0.262,0.459,0.721,0.322,97.1,-0.76,한화,2022,1B,
이병규,0.14,29,43,34,4,8,0,0,0,8,4,0,0,8,1,0,14,2,0,0,0.235,0.395,0.235,0.631,0.333,94.4,-0.01,롯데,2021,XX,
하재훈,0.14,60,114,107,18,23,6,1,6,49,13,1,0,4,1,0,40,0,0,2,0.215,0.246,0.458,0.704,0.308,83.3,-0.43,SSG,2022,LF,
권광민,0.14,32,87,71,6,16,3,1,0,21,8,0,1,13,1,0,30,0,0,2,0.225,0.345,0.296,0.641,0.31,90.1,-0.62,한화,2022,LF,
조평호,0.14,22,22,22,4,8,2,0,1,13,3,0,0,0,0,0,6,1,0,0,0.364,0.364,0.591,0.955,0.416,145.4,-0.03,NC,2015,XX,3500.0
이정훈,0.14,41,151,129,14,32,6,0,2,44,14,0,0,19,3,0,33,3,0,0,0.248,0.358,0.341,0.699,0.34,98.9,-0.52,KIA,2021,DH,4000.0
백용환,0.14,34,57,47,7,13,1,0,0,14,4,0,1,9,0,0,15,3,1,0,0.277,0.393,0.298,0.691,0.33,88.3,0.19,,2018,C,
박광열,0.13,13,15,15,0,6,0,0,0,6,0,0,0,0,0,0,3,1,0,0,0.4,0.4,0.4,0.8,0.378,115.9,-0.1,NC,2016,C,3000.0
백상원,0.13,52,94,77,10,19,5,0,0,24,7,0,0,13,1,0,22,2,2,1,0.247,0.359,0.312,0.67,0.316,77.0,-0.39,삼성,2015,2B,4500.0
하주석,0.13,4,11,10,3,3,0,0,0,3,1,0,0,1,0,0,4,0,0,0,0.3,0.364,0.3,0.664,0.322,77.4,-0.03,한화,2015,SS,3200.0
정진기,0.13,90,212,197,37,46,5,1,11,86,35,4,0,9,4,0,55,1,2,0,0.234,0.281,0.437,0.718,0.308,70.9,1.79,SSG,2017,LF,6200.0
김은성,0.13,16,6,4,0,2,0,0,0,2,0,0,0,1,1,0,1,1,0,0,0.5,0.667,0.5,1.167,0.563,244.2,-0.18,키움,2020,2B,3000.0
박준혁,0.13,6,9,8,3,3,2,0,0,5,3,0,0,1,0,0,2,1,0,0,0.375,0.444,0.625,1.069,0.471,173.3,0.31,한화,2016,RF,2900.0
장두성,0.13,43,41,36,12,8,2,1,0,12,4,4,2,5,0,0,12,0,0,0,0.222,0.317,0.333,0.65,0.312,78.4,-0.17,롯데,2021,CF,3500.0
박정현,0.13,30,64,61,6,17,3,0,1,23,9,0,0,3,0,0,17,2,0,0,0.279,0.313,0.377,0.69,0.317,84.2,-0.05,한화,2020,SS,2700.0
김재현,0.13,83,49,42,29,12,2,1,0,16,2,13,6,4,0,0,11,0,3,0,0.286,0.348,0.381,0.729,0.32,93.9,0.45,SSG,2019,CF,5600.0
이진영,0.12,18,8,5,3,2,0,0,0,2,0,0,1,1,2,0,1,0,0,0,0.4,0.625,0.4,1.025,0.512,209.4,-0.19,KIA,2017,LF,
김태근,0.12,2,6,4,0,2,1,0,0,3,2,0,1,1,1,0,1,0,0,0,0.5,0.667,0.75,1.417,0.621,307.7,0.14,두산,2022,CF,3000.0
장승현,0.12,23,22,20,5,5,3,0,0,8,3,0,0,1,1,0,6,2,0,0,0.25,0.318,0.4,0.718,0.329,94.4,0.07,두산,2020,C,3500.0
최경모,0.12,98,75,73,16,22,2,0,0,24,4,2,0,1,0,0,18,1,1,0,0.301,0.311,0.329,0.64,0.296,79.6,-0.31,SSG,2022,3B,
송준석,0.12,32,50,47,5,13,5,0,1,21,7,0,0,2,1,0,6,4,0,0,0.277,0.32,0.447,0.767,0.345,98.7,0.19,삼성,2020,RF,4000.0
전민재,0.12,35,46,45,11,13,1,0,0,14,0,3,0,0,0,0,12,3,1,0,0.289,0.289,0.311,0.6,0.275,64.5,-0.11,두산,2022,SS,3200.0
조수행,0.12,119,198,183,35,51,6,4,1,68,17,9,0,9,0,0,33,4,5,1,0.279,0.311,0.372,0.683,0.297,65.4,-0.02,두산,2018,CF,
김지찬,0.12,135,287,254,47,59,5,1,1,69,13,21,4,24,2,0,44,1,5,2,0.232,0.301,0.272,0.573,0.272,53.4,-1.61,삼성,2020,2B,2700.0
이재용,0.12,8,6,5,1,1,0,0,1,4,2,0,0,1,0,0,2,1,0,0,0.2,0.333,0.8,1.133,0.467,191.4,-0.01,NC,2022,C,3000.0
정범모,0.12,25,45,40,4,9,1,0,2,16,4,1,1,3,0,0,15,0,2,0,0.225,0.279,0.4,0.679,0.296,72.3,0.68,NC,2019,C,5500.0
김인태,0.11,46,109,95,16,25,7,0,1,35,10,0,0,12,0,0,26,0,1,1,0.263,0.343,0.368,0.711,0.32,83.0,0.65,두산,2018,RF,
황대인,0.11,86,308,282,30,67,10,1,13,118,45,0,0,18,2,0,62,8,1,5,0.238,0.283,0.418,0.702,0.317,85.1,0.01,KIA,2021,1B,6500.0
이상호,0.11,45,68,65,5,20,2,0,0,22,12,2,1,1,0,0,10,2,2,0,0.308,0.318,0.338,0.657,0.303,75.4,0.01,LG,2021,2B,8500.0
이명기,0.11,94,341,300,36,77,13,2,0,94,23,5,4,30,3,0,56,8,6,2,0.257,0.328,0.313,0.642,0.301,84.1,-1.84,NC,2022,LF,
송성문,0.11,38,90,77,11,21,0,1,1,26,8,0,1,10,1,0,16,0,1,1,0.273,0.36,0.338,0.697,0.323,82.6,0.29,키움,2017,2B,3500.0
허도환,0.11,23,24,22,4,6,0,0,1,9,1,0,0,1,1,0,8,1,0,0,0.273,0.333,0.409,0.742,0.331,83.6,0.08,SSG,2018,C,
허웅,0.11,18,19,17,2,5,1,0,0,6,3,0,0,2,0,0,3,0,0,0,0.294,0.368,0.353,0.721,0.341,98.5,-0.04,SSG,2015,C,3300.0
허웅,0.11,18,19,17,2,5,1,0,0,6,3,0,0,2,0,0,3,0,0,0,0.294,0.368,0.353,0.721,0.341,98.5,-0.04,SSG,2015,C,2700.0
허일,0.11,71,162,149,14,38,4,0,1,45,17,2,1,12,1,0,28,1,0,0,0.255,0.315,0.302,0.617,0.296,74.9,0.12,롯데,2019,CF,
김응민,0.11,4,3,3,1,1,0,0,1,4,2,0,0,0,0,0,0,1,0,0,0.333,0.333,1.333,1.667,0.641,371.9,-0.0,두산,2015,XX,
최윤석,0.11,7,15,12,3,3,0,0,0,3,1,0,0,3,0,0,4,0,0,0,0.25,0.4,0.25,0.65,0.333,102.9,-0.05,한화,2019,SS,
허도환,0.11,48,93,78,9,17,8,0,0,25,12,0,0,6,5,0,21,2,4,0,0.218,0.315,0.321,0.635,0.291,55.3,-0.12,한화,2016,C,7800.0
강경학,0.11,120,376,311,50,80,7,4,2,101,27,4,3,40,5,1,58,3,18,3,0.257,0.348,0.325,0.673,0.304,66.4,-0.32,한화,2015,SS,6500.0
이대수,0.11,36,86,72,9,19,3,0,2,28,12,0,1,6,1,0,23,6,6,1,0.264,0.325,0.389,0.714,0.301,71.5,-0.46,SSG,2015,3B,35000.0
국해성,0.11,11,26,20,6,4,1,0,1,8,5,0,0,2,1,0,5,2,1,2,0.2,0.28,0.4,0.68,0.281,63.9,-0.25,두산,2015,RF,3000.0
박한이,0.1,30,85,74,6,19,3,0,2,28,13,0,0,9,0,0,17,0,1,1,0.257,0.333,0.378,0.712,0.327,93.9,0.32,삼성,2019,DH,
김민혁,0.1,132,434,373,47,106,10,2,0,120,35,6,9,37,2,2,62,10,19,3,0.284,0.349,0.322,0.671,0.305,83.6,0.07,kt,2022,LF,9000.0
김민혁,0.1,132,434,373,47,106,10,2,0,120,35,6,9,37,2,2,62,10,19,3,0.284,0.349,0.322,0.671,0.305,83.6,0.07,두산,2022,LF,3200.0
박경수,0.1,118,280,239,24,46,10,0,9,83,33,0,1,34,3,2,76,7,4,0,0.192,0.301,0.347,0.648,0.301,72.4,-0.95,kt,2021,2B,29000.0
이진영,0.1,32,27,22,4,5,1,0,0,6,5,1,0,5,0,0,9,1,0,0,0.227,0.37,0.273,0.643,0.323,84.3,-0.01,KIA,2020,XX,3400.0
장운호,0.1,57,146,122,12,29,3,0,1,35,15,0,2,17,3,1,24,2,2,2,0.238,0.34,0.287,0.627,0.299,81.1,-0.01,한화,2022,RF,5350.0
홍재호,0.1,56,87,76,16,20,6,0,1,29,9,0,0,8,0,0,12,2,3,0,0.263,0.333,0.382,0.715,0.311,76.5,-0.57,KIA,2018,2B,4000.0
박헌욱,0.1,10,23,22,1,6,2,0,1,11,3,1,0,1,0,0,5,1,0,0,0.273,0.304,0.5,0.804,0.34,94.2,-0.1,NC,2018,CF,3000.0
임재현,0.1,6,3,3,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.333,0.63,302.3,-0.01,SSG,2019,RF,
박지훈,0.1,34,14,12,6,4,1,0,0,5,2,3,1,1,1,0,3,0,0,0,0.333,0.429,0.417,0.845,0.408,146.4,0.23,두산,2021,1B,
김진형,0.1,14,21,18,3,3,2,0,1,8,2,0,0,3,0,0,7,1,0,0,0.167,0.286,0.444,0.73,0.317,91.2,-0.01,두산,2015,3B,3000.0
박기남,0.1,51,93,69,8,14,3,0,0,17,3,1,1,21,0,0,19,3,3,0,0.203,0.389,0.246,0.635,0.317,77.4,-0.15,KIA,2015,3B,
정범모,0.1,19,23,19,2,4,1,0,1,8,5,0,0,2,1,0,4,2,1,0,0.211,0.318,0.421,0.739,0.328,89.6,-0.14,NC,2021,C,
서동욱,0.1,55,118,103,14,24,5,0,3,38,15,0,0,11,3,0,45,1,1,0,0.233,0.325,0.369,0.694,0.317,77.3,-0.36,키움,2015,2B,
김도환,0.1,61,106,93,7,19,6,0,2,31,7,0,0,8,0,0,36,0,4,1,0.204,0.265,0.333,0.598,0.266,52.0,-0.44,삼성,2019,C,5000.0
김정혁,0.1,31,91,84,15,23,5,0,0,28,13,3,1,4,2,0,18,1,0,1,0.274,0.319,0.333,0.652,0.301,70.6,0.45,삼성,2017,3B,
이병휘,0.1,21,12,12,6,3,0,0,0,3,1,5,0,0,0,0,3,0,0,0,0.25,0.25,0.25,0.5,0.236,32.3,-0.04,두산,2019,2B,
이상호,0.1,15,27,25,1,7,2,0,0,9,1,3,0,0,2,0,4,3,0,0,0.28,0.333,0.36,0.693,0.326,80.8,0.19,NC,2016,2B,4800.0
김웅빈,0.1,10,15,14,4,6,0,0,1,9,4,0,0,0,0,0,3,0,0,1,0.429,0.4,0.643,1.043,0.441,150.7,0.25,키움,2016,2B,3000.0
박기혁,0.1,117,348,308,36,84,13,0,2,103,34,0,2,27,1,0,53,8,10,2,0.273,0.331,0.334,0.666,0.306,64.1,-0.29,kt,2016,SS,15000.0
이현석,0.09,3,3,3,1,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.333,0.333,1.333,1.667,0.641,289.8,-0.0,SSG,2015,C,2700.0
김진곤,0.09,28,40,39,9,11,1,0,2,18,8,1,0,1,0,0,11,0,0,0,0.282,0.3,0.462,0.762,0.33,86.2,-0.44,kt,2017,LF,3300.0
김태연,0.09,9,6,4,0,1,1,0,0,2,0,0,0,2,0,0,2,0,0,0,0.25,0.5,0.5,1.0,0.46,185.5,-0.0,한화,2019,3B,
오영수,0.09,83,259,231,25,55,10,0,6,83,31,0,5,22,3,0,58,4,0,3,0.238,0.309,0.359,0.668,0.311,89.8,0.33,NC,2022,1B,3000.0
임병욱,0.09,21,46,42,10,10,3,0,1,16,7,2,0,3,0,0,14,2,0,1,0.238,0.283,0.381,0.664,0.292,62.2,-0.36,키움,2017,CF,5000.0
이흥련,0.09,49,132,125,6,30,1,0,3,40,20,0,0,6,0,0,29,5,0,1,0.24,0.273,0.32,0.593,0.273,52.1,-0.36,두산,2020,SC,
양원혁,0.09,7,6,5,3,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.4,0.5,0.4,0.9,0.428,151.8,-0.02,LG,2018,2B,3200.0
지시완,0.09,3,11,8,0,2,0,0,0,2,2,0,0,3,0,0,4,0,0,0,0.25,0.455,0.25,0.705,0.371,117.8,0.16,롯데,2020,C,5700.0
최준석,0.09,93,179,153,7,39,3,0,4,54,24,0,0,24,0,0,41,6,0,2,0.255,0.352,0.353,0.705,0.324,84.5,-0.11,NC,2018,DH,
홍성흔,0.09,93,352,301,39,79,12,0,7,112,46,8,1,42,5,1,59,13,4,0,0.262,0.362,0.372,0.734,0.338,97.7,0.79,두산,2015,DH,0.0
장승현,0.08,20,16,13,2,5,0,0,0,5,1,0,0,1,0,0,2,2,2,0,0.385,0.429,0.385,0.813,0.333,88.9,-0.13,두산,2018,C,
오선우,0.08,59,73,67,11,16,0,0,4,28,14,0,0,3,3,0,26,2,0,0,0.239,0.301,0.418,0.719,0.324,85.3,-0.13,KIA,2020,RF,3000.0
김태군,0.08,18,28,22,0,4,0,0,0,4,1,0,0,4,2,0,8,1,0,0,0.182,0.357,0.182,0.539,0.292,70.5,-0.07,NC,2019,C,20000.0
강현구,0.08,3,5,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.333,0.6,0.333,0.933,0.482,206.5,0.03,두산,2022,LF,
오태곤,0.08,130,295,263,48,61,15,1,4,90,23,11,4,15,9,1,68,3,5,3,0.232,0.293,0.342,0.635,0.29,73.9,0.06,SSG,2022,LF,
고승민,0.08,30,89,83,7,21,6,2,0,31,6,0,0,4,0,0,16,1,1,1,0.253,0.284,0.373,0.658,0.296,76.3,-0.33,롯데,2019,2B,
박윤,0.08,9,18,16,2,5,1,0,0,6,0,0,0,2,0,0,4,0,0,0,0.313,0.389,0.375,0.764,0.357,103.7,0.02,키움,2017,1B,
강지광,0.08,13,21,18,3,5,0,0,0,5,2,0,0,2,1,0,9,0,0,0,0.278,0.381,0.278,0.659,0.329,87.9,0.28,키움,2015,LF,2700.0
김성윤,0.08,9,9,7,1,2,1,0,0,3,0,0,0,1,1,0,1,0,0,0,0.286,0.444,0.429,0.873,0.414,145.5,-0.1,삼성,2020,LF,2900.0
김민준,0.08,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0.367,107.9,0.0,키움,2015,CF,2700.0
김주성,0.08,3,7,6,1,1,0,0,1,4,1,0,0,1,0,0,3,0,0,0,0.167,0.286,0.667,0.952,0.399,160.4,-0.29,LG,2021,3B,3300.0
노관현,0.08,9,6,6,0,3,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0.5,0.5,0.5,1.0,0.464,175.0,-0.03,KIA,2017,XX,0.0
전민수,0.08,75,105,95,8,23,7,0,0,30,8,2,1,9,0,0,18,4,1,0,0.242,0.308,0.316,0.624,0.294,74.1,-0.03,LG,2019,XX,5000.0
신성현,0.08,8,7,4,2,1,1,0,0,2,0,0,0,3,0,0,3,0,0,0,0.25,0.571,0.5,1.071,0.498,202.6,0.14,두산,2020,XX,4800.0
김원섭,0.08,37,90,73,10,16,5,0,0,21,12,1,0,15,0,0,16,2,1,1,0.219,0.348,0.288,0.636,0.311,67.8,0.38,KIA,2016,RF,0.0
김민식,0.08,69,237,210,22,52,6,1,2,66,21,0,0,17,2,0,28,3,6,2,0.248,0.307,0.314,0.622,0.286,61.0,-0.36,KIA,2020,C,8800.0
이인혁,0.08,6,9,8,1,2,0,0,1,5,1,0,0,1,0,0,3,0,0,0,0.25,0.333,0.625,0.958,0.416,152.5,-0.05,NC,2019,RF,
신성현,0.07,35,54,41,9,8,0,0,1,11,6,0,0,10,1,0,14,0,0,2,0.195,0.352,0.268,0.62,0.308,86.3,-0.13,두산,2019,1B,4800.0
류지혁,0.07,14,5,5,3,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.2,0.2,0.2,0.4,0.187,-12.1,-0.0,두산,2015,SS,3000.0
문상철,0.07,28,52,49,5,11,3,0,2,20,4,1,0,3,0,0,17,2,0,0,0.224,0.269,0.408,0.677,0.306,84.3,-0.27,kt,2022,1B,6600.0
박승욱,0.07,8,6,6,5,2,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.5,0.833,0.381,121.9,-0.07,롯데,2021,2B,3000.0
김기환,0.07,4,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,0.645,292.1,0.0,NC,2020,XX,2700.0
허도환,0.07,30,49,40,4,9,3,0,1,15,4,0,0,4,2,0,10,2,3,0,0.225,0.326,0.375,0.701,0.301,67.4,0.16,한화,2017,C,
안상현,0.07,37,40,39,9,10,2,0,1,15,4,3,1,1,0,0,15,0,0,0,0.256,0.275,0.385,0.66,0.304,73.9,-0.11,SSG,2021,2B,
오윤석,0.07,29,36,33,7,9,1,0,1,13,3,0,0,2,0,0,8,2,1,0,0.273,0.314,0.394,0.708,0.311,75.6,-0.14,롯데,2015,2B,2700.0
신용수,0.07,5,8,7,2,3,0,0,0,3,2,1,1,1,0,0,0,0,0,0,0.429,0.5,0.429,0.929,0.445,165.5,0.16,롯데,2020,RF,2900.0
김태우,0.07,3,7,7,0,3,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0.429,0.429,0.429,0.857,0.397,135.5,0.08,NC,2017,C,
용덕한,0.07,91,157,140,12,34,6,0,1,43,13,2,1,8,4,0,26,2,5,0,0.243,0.303,0.307,0.61,0.278,51.7,-0.61,kt,2015,NC,
장시윤,0.07,9,14,10,3,2,0,0,0,2,0,0,0,3,1,0,2,1,0,0,0.2,0.429,0.2,0.629,0.35,92.7,-0.14,키움,2016,2B,3600.0
김선우,0.06,3,4,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.333,0.5,0.333,0.833,0.423,166.1,0.05,KIA,2022,XX,3000.0
이정식,0.06,5,5,5,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.4,0.4,0.4,0.8,0.374,118.7,-0.07,삼성,2015,C,0.0
