이름,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WPA,소속팀,연도,포지션,연봉
이창열,0.05,5,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,0.636,286.4,0.0,한화,2015,XX,3200.0
이우성,0.05,60,168,151,19,33,4,0,6,55,22,0,0,12,2,0,40,3,1,2,0.219,0.281,0.364,0.646,0.295,73.5,-0.98,NC,2019,KLF,
이병규,0.05,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.944,475.4,-0.03,LG,2016,XX,12000.0
정수빈,0.05,114,305,269,49,65,7,2,2,82,20,12,4,25,6,0,48,7,4,1,0.242,0.319,0.305,0.624,0.296,58.1,-0.89,두산,2016,CF,
정찬헌,0.05,1,1,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.927,486.1,0.05,LG,2017,P,9500.0
황대인,0.05,22,44,44,3,12,2,0,2,20,7,0,0,0,0,0,18,3,0,0,0.273,0.273,0.455,0.727,0.315,74.1,-0.58,KIA,2015,3B,3000.0
백승현,0.05,9,30,23,2,5,1,0,0,6,1,0,1,5,1,0,6,0,1,0,0.217,0.379,0.261,0.64,0.312,76.9,-0.0,LG,2017,SS,3000.0
김문호,0.05,18,52,46,6,10,1,0,2,17,5,0,0,5,1,0,11,1,0,0,0.217,0.308,0.37,0.677,0.312,80.3,0.17,한화,2020,1B,
임지열,0.05,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.942,491.5,0.0,키움,2020,XX,2700.0
이진영,0.05,102,284,262,28,76,26,1,2,110,31,0,0,17,1,1,33,3,4,0,0.29,0.336,0.42,0.756,0.332,87.0,0.83,kt,2017,DH,
김지성,0.05,37,49,47,6,11,3,0,2,20,4,1,0,1,1,0,14,1,0,0,0.234,0.265,0.426,0.691,0.299,66.5,-0.29,KIA,2017,SS,0.0
류승현,0.05,57,163,150,14,38,8,1,0,48,14,3,2,9,4,0,29,3,0,0,0.253,0.313,0.32,0.633,0.301,77.1,-0.12,,2019,1B,
허정협,0.05,4,6,6,1,2,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0.333,0.333,0.333,0.667,0.312,77.3,-0.04,키움,2015,XX,3000.0
문선재,0.05,35,107,92,17,24,6,1,2,38,14,0,3,10,1,0,24,0,2,2,0.261,0.333,0.413,0.746,0.326,88.2,0.31,LG,2017,LF,7000.0
조인성,0.05,106,310,276,33,64,11,0,11,108,44,0,0,16,6,0,89,5,11,1,0.232,0.288,0.391,0.679,0.293,58.8,0.36,한화,2015,C,40000.0
김주성,0.05,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.927,486.1,0.0,LG,2017,3B,2900.0
김강률,0.05,3,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.927,488.0,0.02,두산,2017,P,15000.0
최준우,0.05,10,16,12,0,3,0,0,0,3,1,0,0,3,0,0,3,0,0,1,0.25,0.375,0.25,0.625,0.311,89.1,-0.06,SSG,2022,2B,
최정민,0.05,8,9,9,1,3,1,0,0,4,1,0,0,0,0,0,4,0,0,0,0.333,0.333,0.444,0.778,0.346,96.2,-0.14,KIA,2017,2B,5500.0
최승준,0.04,2,4,3,1,1,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0.333,0.5,0.333,0.833,0.426,157.7,0.07,한화,2020,1B,
정주현,0.04,134,371,328,50,81,10,4,4,111,30,8,7,29,3,0,63,6,9,2,0.247,0.312,0.338,0.651,0.297,71.1,-0.59,LG,2020,2B,12500.0
정주후,0.04,12,3,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,-133.8,0.19,kt,2016,XX,2900.0
김민수,0.04,57,156,140,9,36,6,0,0,42,11,0,1,9,4,0,48,2,3,0,0.257,0.32,0.3,0.62,0.293,73.7,0.23,롯데,2022,3B,5300.0
신본기,0.04,81,123,106,18,23,1,0,2,30,12,1,0,14,1,0,22,3,1,1,0.217,0.312,0.283,0.595,0.285,60.7,-0.3,롯데,2020,3B,
송승환,0.04,11,28,28,3,7,1,0,1,11,4,0,0,0,0,0,7,0,0,0,0.25,0.25,0.393,0.643,0.29,81.2,0.22,두산,2022,LF,3000.0
허관회,0.04,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0.5,1.0,0.471,190.0,-0.04,한화,2020,C,2700.0
양종민,0.04,21,15,14,5,4,0,1,0,6,1,0,0,1,0,0,5,1,0,0,0.286,0.333,0.429,0.762,0.334,86.9,-0.05,두산,2018,2B,
정보근,0.04,11,20,18,0,5,0,0,0,5,0,0,1,2,0,0,2,1,0,0,0.278,0.35,0.278,0.628,0.313,80.9,-0.28,롯데,2021,C,3400.0
권희동,0.04,14,47,41,4,11,0,0,1,14,9,0,1,5,1,0,9,0,0,0,0.268,0.362,0.341,0.703,0.337,87.9,0.09,NC,2016,LF,6800.0
노진혁,0.04,4,7,7,2,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.286,0.286,0.429,0.714,0.312,77.1,-0.14,NC,2017,3B,4300.0
김민하,0.04,46,142,115,14,24,4,1,1,33,17,6,3,17,8,0,36,3,0,2,0.209,0.345,0.287,0.632,0.317,85.1,-0.49,한화,2021,RF,
황선도,0.04,1,4,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.333,0.5,0.333,0.833,0.423,141.6,-0.05,삼성,2016,CF,2800.0
김재성,0.04,3,7,5,0,1,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0.2,0.429,0.2,0.629,0.341,106.4,0.07,LG,2019,C,3100.0
권혁경,0.04,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0.471,199.9,0.02,,2022,C,
고영민,0.04,8,5,4,1,1,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0.25,0.4,0.5,0.9,0.404,131.2,-0.17,두산,2016,XX,
문상준,0.04,2,3,3,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.333,0.333,0.667,1.0,0.439,171.0,0.07,kt,2022,SS,3000.0
강현우,0.04,26,32,30,2,6,2,0,1,11,3,0,0,2,0,0,11,1,0,0,0.2,0.25,0.367,0.617,0.276,54.0,0.02,kt,2020,C,3000.0
한준수,0.04,7,20,20,2,6,2,0,0,8,2,0,0,0,0,0,2,2,0,0,0.3,0.3,0.4,0.7,0.321,90.8,-0.07,KIA,2019,C,2900.0
김주찬,0.04,7,18,18,3,6,0,0,1,9,2,0,1,0,0,0,2,2,0,0,0.333,0.333,0.5,0.833,0.371,117.0,-0.38,,2020,1B,
김민수,0.04,3,10,8,1,2,0,0,0,2,0,1,0,2,0,0,4,0,0,0,0.25,0.4,0.25,0.65,0.335,93.9,0.08,롯데,2020,3B,3000.0
박세혁,0.04,87,210,172,26,36,5,1,5,58,23,2,2,22,2,0,45,1,11,3,0.209,0.302,0.337,0.639,0.281,51.9,-0.36,두산,2016,C,6000.0
하주석,0.04,5,20,19,3,5,2,0,0,7,2,0,0,0,0,0,4,1,1,0,0.263,0.263,0.368,0.632,0.273,60.5,-0.51,한화,2019,SS,14000.0
조성모,0.04,3,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0.5,1.0,0.472,176.9,0.0,SSG,2016,XX,
이형종,0.03,26,63,53,3,14,3,0,0,17,7,0,0,5,1,0,10,0,1,3,0.264,0.323,0.321,0.643,0.296,80.5,0.27,LG,2022,DH,12000.0
전민수,0.03,55,145,130,20,36,8,0,1,47,8,2,1,11,0,0,25,2,3,1,0.277,0.331,0.362,0.693,0.31,72.9,-0.17,kt,2017,LF,5100.0
박찬혁,0.03,52,175,161,13,34,5,0,6,57,17,0,1,9,5,0,67,1,0,0,0.211,0.274,0.354,0.628,0.291,81.8,-0.36,키움,2022,DH,
윤요섭,0.03,74,159,148,17,39,4,0,9,70,28,0,1,6,1,0,39,5,2,2,0.264,0.293,0.473,0.766,0.326,85.2,-0.6,kt,2015,DH,6500.0
안상현,0.03,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0.46,170.0,0.0,SSG,2018,XX,
황목치승,0.03,24,74,71,13,19,3,1,0,24,8,2,0,2,0,0,10,2,0,1,0.268,0.284,0.338,0.622,0.282,55.0,-0.5,LG,2015,2B,4000.0
이천웅,0.03,68,211,181,20,36,7,0,2,49,16,3,2,25,3,0,23,11,1,1,0.199,0.305,0.271,0.576,0.284,65.2,-0.82,LG,2021,CF,10000.0
최원제,0.03,8,13,11,1,3,0,0,0,3,0,0,0,1,1,0,5,0,0,0,0.273,0.385,0.273,0.657,0.326,87.8,-0.06,삼성,2018,1B,
홍성갑,0.03,7,10,9,0,3,0,0,0,3,2,0,0,1,0,0,4,0,0,0,0.333,0.4,0.333,0.733,0.354,104.7,-0.09,키움,2015,XX,3200.0
배성근,0.03,79,109,93,21,19,4,0,1,26,9,1,0,14,0,0,36,1,2,0,0.204,0.308,0.28,0.588,0.285,61.5,-0.18,롯데,2021,SS,4200.0
