순,이름,팀,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
98,박경수,15k2B,4.57,137,537,440,75,125,30,1,22,223,73,6,4,74,13,1,115,8,6,4,.284,.399,.507,.906,.397,131.0,4.57,1.12
99,버나디나,18KCF,4.55,131,590,513,106,159,25,3,20,250,70,32,13,63,10,3,103,9,3,1,.310,.395,.487,.883,.385,125.4,4.55,3.55
100,박건우,16두RF,4.51,132,540,484,95,162,36,4,20,266,83,17,6,38,9,0,86,9,4,5,.335,.390,.550,.940,.411,137.7,4.51,2.99
101,나성범,18NRF,4.51,144,620,556,110,177,36,3,23,288,91,15,2,44,15,4,131,11,0,5,.318,.381,.518,.899,.387,126.6,4.51,4.73
102,박건우,22NCF,4.47,111,463,408,52,137,18,1,10,187,61,3,3,44,8,1,62,10,0,3,.336,.408,.458,.867,.400,151.9,4.47,1.02
103,박민우,20N2B,4.47,126,530,467,82,161,27,5,8,222,63,13,6,36,15,2,48,12,2,10,.345,.402,.475,.877,.396,132.6,4.47,1.46
104,정은원,21한2B,4.46,139,608,495,85,140,22,5,6,190,39,19,11,105,1,1,105,9,4,3,.283,.407,.384,.791,.379,126.6,4.46,1.76
105,서건창,16넥2B,4.46,140,646,560,111,182,30,7,7,247,63,26,13,69,10,2,58,6,3,4,.325,.406,.441,.847,.389,116.6,4.46,4.17
106,오지환,15LSS,4.44,138,566,497,76,138,41,4,11,220,56,25,10,59,4,1,121,2,3,3,.278,.357,.443,.800,.357,110.3,4.44,2.40
107,알테어,20NCF,4.43,136,546,482,90,134,20,7,31,261,108,22,3,46,12,3,149,10,0,6,.278,.352,.541,.893,.387,124.7,4.43,2.78
108,박민우,15N2B,4.42,141,617,520,111,158,31,6,3,210,47,46,16,73,14,0,108,4,3,7,.304,.399,.404,.803,.371,116.8,4.42,1.48
109,나성범,16NRF,4.42,144,653,572,116,177,37,2,22,284,113,7,4,67,9,2,136,4,1,4,.309,.388,.497,.885,.395,125.9,4.42,1.93
110,오지환,20LSS,4.41,141,591,527,95,158,41,7,10,243,71,20,8,45,9,1,116,4,5,5,.300,.362,.461,.823,.368,119.9,4.41,1.21
111,페르난데스,20두DH,4.40,144,668,586,104,199,29,0,21,291,105,0,1,58,13,1,42,26,0,11,.340,.404,.497,.901,.406,146.5,4.40,4.31
112,안치홍,17K2B,4.39,132,545,487,95,154,29,2,21,250,93,7,0,43,4,1,70,19,6,5,.316,.373,.513,.886,.382,123.0,4.39,3.80
113,로맥,20S1B,4.38,139,586,485,85,137,32,0,32,265,91,4,2,91,6,5,116,5,0,4,.282,.399,.546,.946,.414,142.7,4.38,4.31
114,정근우,16한2B,4.37,138,650,575,121,178,31,2,18,267,88,22,6,60,9,2,58,14,1,5,.310,.381,.464,.845,.381,112.5,4.37,3.71
115,이범호,16K3B,4.36,138,560,484,93,150,23,0,33,272,108,1,1,60,9,7,57,15,0,7,.310,.391,.562,.953,.411,132.9,4.36,3.95
116,라모스,20L1B,4.35,117,494,431,74,120,17,2,38,255,86,2,0,55,4,5,136,7,0,4,.278,.362,.592,.954,.407,153.6,4.35,2.45
117,이용규,16한CF,4.31,113,530,452,98,159,20,4,3,196,41,21,11,63,7,1,29,7,7,1,.352,.438,.434,.872,.404,128.1,4.31,3.44
118,스크럭스,17N1B,4.26,115,518,437,91,131,24,0,35,260,111,4,0,65,12,2,134,9,0,4,.300,.402,.595,.997,.423,150.2,4.26,4.78
119,민병헌,16두RF,4.24,134,579,511,98,166,31,4,16,253,87,9,2,48,15,1,91,18,1,4,.325,.396,.495,.891,.400,129.5,4.24,2.84
120,전준우,19롯LF,4.24,141,606,545,85,164,30,1,22,262,83,8,2,46,7,2,71,19,1,7,.301,.359,.481,.839,.379,130.6,4.24,0.53
121,박성한,22SSS,4.23,140,564,494,68,147,24,4,2,185,56,12,8,60,2,1,81,5,6,2,.298,.375,.374,.749,.349,116.6,4.23,1.49
122,이재원,18SC,4.21,130,471,407,63,134,24,0,17,209,57,0,0,43,12,0,65,13,4,5,.329,.405,.514,.918,.397,130.6,4.21,2.10
123,서건창,17넥2B,4.20,139,615,539,87,179,28,3,6,231,76,15,6,67,1,1,68,11,2,6,.332,.403,.429,.832,.378,118.2,4.20,3.38
124,러프,19삼1B,4.18,133,568,472,80,138,35,2,22,243,101,6,3,80,7,6,87,18,0,9,.292,.396,.515,.911,.406,145.8,4.18,1.30
125,김태균,15한1B,4.17,133,524,408,61,129,28,0,21,220,104,3,1,98,12,12,80,19,1,5,.316,.457,.539,.996,.436,153.7,4.17,5.83
126,최형우,19KDH,4.16,136,555,456,65,137,31,1,17,221,86,0,1,85,7,6,77,13,0,7,.300,.413,.485,.897,.406,150.3,4.16,3.05
127,오지환,16LSS,4.16,121,472,393,73,110,14,5,20,194,78,17,9,65,7,0,97,7,2,5,.280,.387,.494,.881,.391,126.6,4.16,1.98
128,오재일,19두1B,4.14,130,529,467,76,137,29,1,21,231,102,2,1,55,3,1,99,5,0,4,.293,.369,.495,.863,.390,145.1,4.14,4.60
129,최형우,15삼LF,4.13,144,637,547,94,174,33,1,33,308,123,2,5,73,9,7,101,13,0,8,.318,.402,.563,.965,.416,143.3,4.13,3.48
130,김주찬,16KLF,4.12,130,555,511,97,177,37,3,23,289,101,9,7,30,7,1,68,13,1,6,.346,.386,.566,.952,.415,135.8,4.12,3.62
131,박민우,16N2B,4.09,121,515,435,84,149,16,6,3,186,55,20,6,55,8,1,70,9,10,7,.343,.420,.428,.847,.387,122.1,4.09,2.50
132,박석민,20N3B,4.06,123,448,356,58,109,15,0,14,166,63,0,1,75,10,2,62,11,2,4,.306,.436,.466,.902,.411,142.6,4.06,2.64
133,황재균,19K3B,4.05,124,506,447,78,127,16,3,20,209,67,10,7,52,2,2,70,10,0,5,.284,.358,.468,.825,.373,130.2,4.05,2.18
134,박경수,16k2B,4.04,121,476,402,64,126,22,1,20,210,80,3,1,65,5,2,80,9,0,4,.313,.412,.522,.934,.415,135.0,4.04,2.22
135,오재일,16두1B,4.03,105,455,380,69,120,20,2,27,225,92,1,0,64,2,2,73,5,2,7,.316,.411,.592,1.003,.430,154.4,4.03,4.67
136,문보경,22L3B,4.02,126,466,406,52,128,22,3,9,183,56,7,0,47,1,1,56,11,5,7,.315,.382,.451,.833,.377,138.3,4.02,1.10
137,로맥,19S1B,4.02,137,589,504,86,139,28,1,29,256,95,6,3,73,6,3,117,11,0,6,.276,.370,.508,.878,.393,136.7,4.02,1.09
